Moscow Maps 2.0
00
Lian/obstacleposition=0.4	pathlength	487.58649	442.81018	TL	TL	TL	TL	442.56165	433.69125	TL	TL	451.6623925
Lian/obstacleposition=0.4	max_angle	22.40983391	23.96249008	TL	TL	TL	TL	23.96249008	17.02051926	TL	TL	21.83883333
Lian/obstacleposition=0.4	dliantime	0.285021	0.534033	TL	TL	TL	TL	3.74226	0.067012	TL	TL	1.1570815
Lian/obstacleposition=0.4	sumtime	0.237017	0.533046	TL	TL	TL	TL	1.630114	0.036003	TL	TL	0.609045
Lian/obstacleposition=0.6	numberofsteps	8677	15371	TL	TL	TL	93994	121698	2472	TL	133734	62657.66667
Lian/obstacleposition=0.6	memory	17962	25415	TL	TL	TL	142634	161131	5319	TL	173400	87643.5
Lian/obstacleposition=0.6	pathlength	487.29434	439.81567	TL	TL	TL	463.19443	443.32596	433.59164	TL	489.44232	459.44406
Lian/obstacleposition=0.6	max_angle	22.40983391	5.71057272	TL	TL	TL	24.4866848	23.96249008	11.30993366	TL	24.8515892	18.7885174
Lian/obstacleposition=0.6	dliantime	0.178006	0.177012	TL	TL	TL	2.131151	4.36831	0.07501	TL	1.927137	1.476104333
Lian/obstacleposition=0.6	sumtime	0.105009	0.191014	TL	TL	TL	2.683186	2.070147	0.022007	TL	3.763261	1.472437333
Lian/obstacleposition=0.8	numberofsteps	18868	179854	TL	189427	30224	92114	116331	2714	37215	TL	83343.375
Lian/obstacleposition=0.8	memory	36408	240811	TL	249601	50484	140538	161491	6437	57968	TL	117967.25
Lian/obstacleposition=0.8	pathlength	488.36493	450.63739	TL	438.53235	451.18427	463.00812	443.35452	433.69275	460.53458	TL	453.6636138
Lian/obstacleposition=0.8	max_angle	22.40983391	17.7446785	TL	20.85445213	21.80140686	22.40983391	24.8515892	5.71057272	17.02051926	TL	19.10036081
Lian/obstacleposition=0.8	dliantime	0.443033	7.89356	TL	5.112358	0.398025	2.016149	4.573324	0.056999	0.726053	TL	2.652437625
Lian/obstacleposition=0.8	sumtime	0.41303	8.292586	TL	6.508462	0.428022	2.614184	5.338378	0.030007	1.179078	TL	3.100468375
06
		4769467	4769468	4769469	4769470	4769471	4769472	4769473	4769474	4769475	4769476
Lian/obstacleposition=0.2	numberofsteps	4144	168505	TL	4395	TL	16569	3653	2741	TL	5803	29401.42857
Lian/obstacleposition=0.2	memory	7819	141097	TL	7375	TL	28891	6212	4949	TL	9799	29448.85714
Lian/obstacleposition=0.2	pathlength	436.84631	486.0369	TL	446.68149	TL	440.81793	440.85934	475.79385	TL	453.10864	454.3063514
Lian/obstacleposition=0.2	max_angle	11.30993366	24.8515892	TL	5.71057272	TL	23.96249008	20.1706562	11.30993366	TL	22.24902534	17.08060013
Lian/obstacleposition=0.2	dliantime	0.121013	4.811341	TL	0.081006	TL	0.190012	0.056009	0.066997	TL	0.097012	0.77477
Lian/obstacleposition=0.2	sumtime	0.030003	2.860197	TL	0.031002	TL	0.125016	0.046008	0.015992	TL	0.021007	0.447032143
Lian/obstacleposition=0.4	numberofsteps	3017	158960	TL	3947	15889	54651	4791	3948	25460	4852	30612.77778
Lian/obstacleposition=0.4	memory	6908	154967	TL	7305	23487	81327	9507	9134	36581	9833	37672.11111
Lian/obstacleposition=0.4	pathlength	436.84634	486.0369	TL	446.68149	436.01218	443.31699	440.85934	476.16196	475.17111	452.92682	454.8903478
Lian/obstacleposition=0.4	max_angle	11.30993366	24.8515892	TL	5.71057272	24.8515892	17.02051926	20.1706562	8.325626373	24.4866848	22.24902534	17.66402186
Lian/obstacleposition=0.4	dliantime	0.102013	5.078353	TL	0.075005	0.193014	0.749053	0.098006	0.084006	0.27402	0.081999	0.748385444
Lian/obstacleposition=0.4	sumtime	0.026007	2.739195	TL	0.029995	0.063005	0.738052	0.058011	0.032995	0.263032	0.022008	0.441366667
Lian/obstacleposition=0.6	numberofsteps	2717	96076	TL	3914	19319	5117	4572	4472	24198	3039	18158.22222
Lian/obstacleposition=0.6	memory	6729	112071	TL	7583	28296	10868	10524	10357	36112	6799	25482.11111
Lian/obstacleposition=0.6	pathlength	436.84631	486.03833	TL	446.77988	436.47763	436.55508	440.76108	476.18436	474.98703	452.6376	454.1408111
Lian/obstacleposition=0.6	max_angle	5.71057272	24.8515892	TL	5.71057272	24.8515892	22.40983391	22.40983391	22.40983391	21.80140686	22.24902534	19.15602864
Lian/obstacleposition=0.6	dliantime	0.067005	4.487325	TL	0.052003	0.194008	0.118014	0.088005	0.070005	0.201014	0.049997	0.591930667
Lian/obstacleposition=0.6	sumtime	0.036003	3.460257	TL	0.039002	0.191014	0.048005	0.050003	0.046999	0.272014	0.034003	0.464144444
Lian/obstacleposition=0.8	numberofsteps	3629	133872	TL	1922	157959	115160	24956	13163	24198	6703	53506.88889
Lian/obstacleposition=0.8	memory	8857	175758	TL	4780	196025	160559	43416	27262	36529	13574	74084.44444
Lian/obstacleposition=0.8	pathlength	437.03873	491.38528	TL	446.19009	449.84329	444.05304	443.11667	476.93988	474.89294	453.14029	457.4000233
Lian/obstacleposition=0.8	max_angle	16.69924736	24.8515892	TL	5.71057272	24.8515892	22.40983391	23.96249008	10.9886446	21.80140686	22.24902534	19.28048881
Lian/obstacleposition=0.8	dliantime	0.06801	4.849338	TL	0.028003	2.625186	3.430248	0.482036	0.224009	0.194008	0.069005	1.329982556
Lian/obstacleposition=0.8	sumtime	0.052009	6.34345	TL	0.022002	2.660182	3.411236	0.481044	0.208009	0.275013	0.068999	1.502438222
07
		4769667	4769668	4769669	4769670	4769671	4769672	4769673	4769674	4769675	4769676
Lian/obstacleposition=0.2	numberofsteps	TL	TL	128822	TL	545503	TL	TL	78125	246038	216250	242947.6
Lian/obstacleposition=0.2	memory	TL	TL	144689	TL	596343	TL	TL	102953	226357	193227	252713.8
Lian/obstacleposition=0.2	pathlength	TL	TL	443.13461	TL	497.70145	TL	TL	457.76791	507.92261	512.5592	483.817156
Lian/obstacleposition=0.2	max_angle	TL	TL	24.4866848	TL	24.8515892	TL	TL	24.4866848	24.8515892	24.8515892	24.70562744
Lian/obstacleposition=0.2	dliantime	TL	TL	1.520106	TL	24.459729	TL	TL	1.281084	4.07229	3.304229	6.9274876
Lian/obstacleposition=0.2	sumtime	TL	TL	0.513036	TL	23.515672	TL	TL	0.531044	2.55718	1.890126	5.8014116
Lian/obstacleposition=0.4	numberofsteps	30767	27292	85838	28501	264837	TL	78072	54491	230250	212049	112455.2222
Lian/obstacleposition=0.4	memory	40779	36970	100817	39473	280249	TL	88259	75973	221264	201573	120595.2222
Lian/obstacleposition=0.4	pathlength	430.37024	452.86169	437.65762	438.26355	480.00357	TL	499.88736	456.43912	503.60968	512.5592	467.9613367
Lian/obstacleposition=0.4	max_angle	22.40983391	21.80140686	23.10633087	18.25189018	24.8515892	TL	24.4866848	22.3801403	24.8515892	24.8515892	22.99900606
Lian/obstacleposition=0.4	dliantime	0.351019	0.210015	1.020072	0.865054	5.866418	TL	0.579046	0.860062	4.166296	3.656253	1.952692778
Lian/obstacleposition=0.4	sumtime	0.215021	0.214015	0.527037	0.61005	5.20338	TL	0.900063	0.505039	1.994146	2.129152	1.366433667
Lian/obstacleposition=0.6	numberofsteps	TL	TL	114712	71422	286158	TL	72511	34868	99403	98037	111015.8571
Lian/obstacleposition=0.6	memory	TL	TL	132771	102190	345420	TL	85414	51402	124986	123973	138022.2857
Lian/obstacleposition=0.6	pathlength	TL	TL	442.83533	441.7529	483.93579	TL	497.49484	455.11322	479.62747	495.78625	470.9351143
Lian/obstacleposition=0.6	max_angle	TL	TL	24.4866848	23.96249008	24.8515892	TL	24.4866848	22.3801403	24.4866848	24.4866848	24.16299411
Lian/obstacleposition=0.6	dliantime	TL	TL	1.217091	1.774132	8.16958	TL	0.528037	0.558039	3.52825	3.393241	2.738338571
Lian/obstacleposition=0.6	sumtime	TL	TL	0.561045	1.773125	9.11665	TL	0.916061	0.515036	2.694194	2.416166	2.570325286
Lian/obstacleposition=0.8	numberofsteps	25680	13476	148068	45481	204390	TL	70176	27384	90890	92662	79800.77778
Lian/obstacleposition=0.8	memory	39090	21011	165657	68094	251935	TL	84042	42247	122477	123563	102012.8889
Lian/obstacleposition=0.8	pathlength	430.09796	449.35956	452.64072	439.82733	474.56537	TL	496.80807	454.51242	476.77975	494.03662	463.1808667
Lian/obstacleposition=0.8	max_angle	24.4866848	22.3801403	24.8515892	16.69924736	24.8515892	TL	24.4866848	20.85445213	24.4866848	24.4866848	23.06486193
Lian/obstacleposition=0.8	dliantime	0.256012	0.120015	1.339089	0.898062	4.214299	TL	0.493036	0.270018	1.602115	1.738124	1.21453
Lian/obstacleposition=0.8	sumtime	0.313021	0.174014	1.485107	1.100085	12.58288	TL	0.905066	0.486042	2.690192	2.523172	2.473286556
08
		4769867	4769868	4769869	4769870	4769871	4769872	4769873	4769874	4769875	4769876
Lian/obstacleposition=0.2	numberofsteps	TL	177040	359707	79106	73384	276556	TL	69128	73345	TL	158323.7143
Lian/obstacleposition=0.2	memory	TL	195262	386882	97503	76371	272962	TL	84670	107933	TL	174511.8571
Lian/obstacleposition=0.2	pathlength	TL	484.43613	474.01367	448.56271	454.25742	474.92535	TL	486.15665	428.49634	TL	464.4068957
